Entity,Code,Year,"Rule of Law index (best estimate, aggregate: average)"
Suriname,SUR,2017,0.716
Sweden,SWE,2017,0.994
Switzerland,CHE,2017,0.994
Syria,SYR,2017,0.032
Taiwan,TWN,2017,0.916
Tajikistan,TJK,2017,0.039
Tanzania,TZA,2017,0.785
Thailand,THA,2017,0.284
Togo,TGO,2017,0.241
Trinidad and Tobago,TTO,2017,0.898
Tunisia,TUN,2017,0.808
Turkey,TUR,2017,0.145
Turkmenistan,TKM,2017,0.058
Uganda,UGA,2017,0.35
Ukraine,UKR,2017,0.266
United Arab Emirates,ARE,2017,0.72
United Kingdom,GBR,2017,0.98
United States,USA,2017,0.937
Uruguay,URY,2017,0.967
Uzbekistan,UZB,2017,0.088
Vanuatu,VUT,2017,0.769
Venezuela,VEN,2017,0.017
Vietnam,VNM,2017,0.371
World,OWID_WRL,2017,0.5469274
Yemen,YEM,2017,0.059
Zambia,ZMB,2017,0.561
Zanzibar,OWID_ZAN,2017,0.289
Zimbabwe,ZWE,2017,0.28
