Country,Year,Gini coefficient (before tax) (World Inequality Database)
Israel,2017,
Italy,2014,0.5038951
Jamaica,2022,0.6512723
Japan,2017,0.5364195
Jersey,2017,
Jordan,2017,
Kazakhstan,2017,0.5280768
Kenya,2017,
Kiribati,2017,
Kosovo,2016,0.45096937
Kuwait,2017,
Kyrgyzstan,2017,0.50301003
Laos,2017,
Latin America (WID),2017,0.6955374
Latvia,2017,0.4822703
Lebanon,2017,
Lesotho,2017,0.6188754
Liberia,2017,
Libya,2017,
Liechtenstein,2017,
Lithuania,2017,0.51223934
Luxembourg,2017,0.48593146
MENA (WID),2017,0.6760641
Macao,2022,0.4322987
Madagascar,2017,
Malawi,2017,
Malaysia,2017,
Maldives,2017,
Mali,2017,
Malta,2017,0.46095142
Marshall Islands,2017,
Mauritania,2017,
Mauritius,2017,0.5747035
Mexico,2017,0.74895805
Micronesia (country),2017,
Middle Africa (WID),2017,0.7238243
Middle East (WID),2017,0.68319
Moldova,2017,0.4644542
Monaco,2017,
Mongolia,2017,0.55743647
Montenegro,2017,0.46032694
Montserrat,2017,
Morocco,2017,
Mozambique,2017,
Myanmar,2017,0.5454564
Namibia,2017,
Nauru,2017,
Nepal,2017,
Netherlands,2017,0.43291485
New Caledonia,2017,
New Zealand,2017,0.4603487
Nicaragua,2022,0.6512723
Niger,2017,
Nigeria,2017,
North Africa (WID),2017,0.5956902
North America (WID),2017,0.5785575
North America and Oceania (WID),2017,0.5756433
North Korea,2017,
North Macedonia,2017,0.4406141
Norway,2017,0.40604216
Oceania (WID),2017,0.5537225
Oman,2017,
Other East Asia (WID),2017,0.54739726
Other Latin America (WID),2017,0.65912896
Other MENA (WID),2017,0.71651524
Other North America and Oceania (WID),2017,
Other Russia and Central Asia (WID),2017,0.5433432
Other South & South-East Asia (WID),2017,0.62533873
Other Sub-Saharan Africa (WID),2017,0.65025395
Other Western Europe (WID),2017,0.47194847
Pakistan,2017,
Palau,2017,
Palestine,2017,
Panama,2022,0.65127224
Papua New Guinea,2017,
Paraguay,2022,0.65127224
Peru,2017,0.71058
Philippines,2017,
Poland,2017,0.47421983
Portugal,2017,0.48723084
Puerto Rico,2017,
Qatar,2017,
Romania,2017,0.47681442
Russia,2017,0.5396758
Russia and Central Asia (WID),2017,0.5664345
Rwanda,2017,
Saint Kitts and Nevis,2017,
Saint Lucia,2017,
Saint Vincent and the Grenadines,2017,
Samoa,2017,
San Marino,2017,
Sao Tome and Principe,2017,
Saudi Arabia,2017,
Senegal,2017,
Serbia,2017,0.5261392
Seychelles,2017,
Sierra Leone,2017,
Singapore,2017,
Sint Maarten (Dutch part),2017,
Slovakia,2017,0.37343988
Slovenia,2017,0.40842724
Solomon Islands,2017,
Somalia,2017,0.5577267
South & South-East Asia (WID),2017,0.6290592
South Africa,2017,
South Africa region (WID),2017,0.746155
South Asia (WID),2017,0.6244717
South Korea,2017,
South Sudan,2017,
South-East Asia (WID),2017,0.609723
Spain,2017,0.45117748
Sri Lanka,2017,
Sub-Saharan Africa (WID),2017,0.68011355
Sudan,2017,
Suriname,2022,0.65127224
Sweden,2017,0.398301
Switzerland,2017,0.41950777
Syria,2017,
Taiwan,2017,0.6085889
Tajikistan,2017,
Tanzania,2017,0.6125268
Thailand,2017,0.64667094
Togo,2017,
Tonga,2017,
Trinidad and Tobago,2022,0.6512723
Tunisia,2017,
Turkey,2017,0.61233634
Turkmenistan,2017,
Turks and Caicos Islands,2017,
Tuvalu,2017,
Uganda,2017,
Ukraine,2017,0.43270406
United Arab Emirates,2017,
United Kingdom,2017,0.46811715
United States,2017,0.5804986
Uruguay,2017,0.55546945
Uzbekistan,2017,
Vanuatu,2017,
Venezuela,2022,
Vietnam,2017,
West Africa (WID),2017,0.59840876
West Asia (WID),2017,0.63140416
Western Europe (WID),2017,0.47847152
World,2017,0.6696284
Yemen,2017,
Zambia,2017,
Zimbabwe,2017,0.63579863
